execution_id,control_id,execution_date,status,tested_by,evidence,notes
EXEC_00000001,CTRL_001,2023-02-01,passed,Henry Moore,log_file_CTRL_001_20230201.pdf,No exceptions identified
EXEC_00000002,CTRL_001,2023-03-03,failed,Grace Wilson,report_CTRL_001_20230303.pdf,Significant deficiency found
EXEC_00000003,CTRL_001,2023-04-02,passed,Carol Williams,attestation_CTRL_001_20230402.pdf,No exceptions identified
EXEC_00000004,CTRL_001,2023-05-02,passed,Bob Johnson,log_file_CTRL_001_20230502.pdf,No exceptions identified
EXEC_00000005,CTRL_001,2023-06-01,passed,Jack Anderson,checklist_CTRL_001_20230601.pdf,Control operating effectively
EXEC_00000006,CTRL_001,2023-07-01,passed,Frank Miller,checklist_CTRL_001_20230701.pdf,All checks completed successfully
EXEC_00000007,CTRL_001,2023-07-31,failed,Frank Miller,attestation_CTRL_001_20230731.pdf,Significant deficiency found
EXEC_00000008,CTRL_001,2023-08-30,passed,Alice Smith,report_CTRL_001_20230830.pdf,Compliance verified
EXEC_00000009,CTRL_001,2023-09-29,passed,Carol Williams,report_CTRL_001_20230929.pdf,Control operating effectively
EXEC_00000010,CTRL_001,2023-10-29,failed,Henry Moore,report_CTRL_001_20231029.pdf,Control not operating as designed
EXEC_00000011,CTRL_001,2023-11-28,passed,Frank Miller,log_file_CTRL_001_20231128.pdf,Compliance verified
EXEC_00000012,CTRL_001,2023-12-28,not_tested,Alice Smith,,Testing postponed due to resource constraints
EXEC_00000013,CTRL_001,2024-01-27,passed,Frank Miller,log_file_CTRL_001_20240127.pdf,Compliance verified
EXEC_00000014,CTRL_001,2024-02-26,failed,Jack Anderson,screenshot_CTRL_001_20240226.pdf,Non-compliance detected
EXEC_00000015,CTRL_001,2024-03-27,passed,Emma Davis,screenshot_CTRL_001_20240327.pdf,All checks completed successfully
EXEC_00000016,CTRL_001,2024-04-26,passed,Carol Williams,checklist_CTRL_001_20240426.pdf,Compliance verified
EXEC_00000017,CTRL_001,2024-05-26,not_tested,Bob Johnson,,System unavailable for testing
EXEC_00000018,CTRL_001,2024-06-25,failed,David Brown,attestation_CTRL_001_20240625.pdf,Non-compliance detected
EXEC_00000019,CTRL_001,2024-07-25,passed,Henry Moore,screenshot_CTRL_001_20240725.pdf,All checks completed successfully
EXEC_00000020,CTRL_001,2024-08-24,passed,Bob Johnson,checklist_CTRL_001_20240824.pdf,Control operating effectively
EXEC_00000021,CTRL_001,2024-09-23,failed,Henry Moore,report_CTRL_001_20240923.pdf,Non-compliance detected
EXEC_00000022,CTRL_001,2024-10-23,passed,Bob Johnson,attestation_CTRL_001_20241023.pdf,No exceptions identified
EXEC_00000023,CTRL_001,2024-11-22,failed,Carol Williams,screenshot_CTRL_001_20241122.pdf,Non-compliance detected
EXEC_00000024,CTRL_001,2024-12-22,passed,Bob Johnson,screenshot_CTRL_001_20241222.pdf,Control operating effectively
EXEC_00000025,CTRL_001,2025-01-21,passed,Henry Moore,report_CTRL_001_20250121.pdf,No exceptions identified
EXEC_00000026,CTRL_002,2023-02-01,passed,Frank Miller,checklist_CTRL_002_20230201.pdf,Control operating effectively
EXEC_00000027,CTRL_002,2023-02-02,passed,Bob Johnson,report_CTRL_002_20230202.pdf,No exceptions identified
EXEC_00000028,CTRL_002,2023-02-03,passed,Henry Moore,attestation_CTRL_002_20230203.pdf,Compliance verified
EXEC_00000029,CTRL_002,2023-02-04,failed,Jack Anderson,report_CTRL_002_20230204.pdf,Control not operating as designed
EXEC_00000030,CTRL_002,2023-02-05,not_tested,Bob Johnson,,System unavailable for testing
EXEC_00000031,CTRL_002,2023-02-06,passed,Frank Miller,screenshot_CTRL_002_20230206.pdf,Control operating effectively
EXEC_00000032,CTRL_002,2023-02-07,failed,Carol Williams,checklist_CTRL_002_20230207.pdf,Exception identified - requires remediation
EXEC_00000033,CTRL_002,2023-02-08,failed,Iris Taylor,screenshot_CTRL_002_20230208.pdf,Non-compliance detected
EXEC_00000034,CTRL_002,2023-02-09,passed,Frank Miller,screenshot_CTRL_002_20230209.pdf,No exceptions identified
EXEC_00000035,CTRL_002,2023-02-10,not_tested,Iris Taylor,,Testing postponed due to resource constraints
EXEC_00000036,CTRL_002,2023-02-11,passed,Iris Taylor,log_file_CTRL_002_20230211.pdf,Control operating effectively
EXEC_00000037,CTRL_002,2023-02-12,passed,Jack Anderson,attestation_CTRL_002_20230212.pdf,All checks completed successfully
EXEC_00000038,CTRL_002,2023-02-13,passed,Carol Williams,attestation_CTRL_002_20230213.pdf,Control operating effectively
EXEC_00000039,CTRL_002,2023-02-14,passed,Jack Anderson,attestation_CTRL_002_20230214.pdf,No exceptions identified
EXEC_00000040,CTRL_002,2023-02-15,failed,Jack Anderson,report_CTRL_002_20230215.pdf,Exception identified - requires remediation
EXEC_00000041,CTRL_002,2023-02-16,passed,Jack Anderson,log_file_CTRL_002_20230216.pdf,Control operating effectively
EXEC_00000042,CTRL_002,2023-02-17,failed,Grace Wilson,attestation_CTRL_002_20230217.pdf,Exception identified - requires remediation
EXEC_00000043,CTRL_002,2023-02-18,passed,Iris Taylor,log_file_CTRL_002_20230218.pdf,No exceptions identified
EXEC_00000044,CTRL_002,2023-02-19,passed,Grace Wilson,log_file_CTRL_002_20230219.pdf,Compliance verified
EXEC_00000045,CTRL_002,2023-02-20,passed,Alice Smith,screenshot_CTRL_002_20230220.pdf,Compliance verified
EXEC_00000046,CTRL_002,2023-02-21,passed,Henry Moore,screenshot_CTRL_002_20230221.pdf,No exceptions identified
EXEC_00000047,CTRL_002,2023-02-22,passed,Frank Miller,log_file_CTRL_002_20230222.pdf,No exceptions identified
EXEC_00000048,CTRL_002,2023-02-23,not_tested,Carol Williams,,Scheduled for next period
EXEC_00000049,CTRL_002,2023-02-24,passed,Frank Miller,screenshot_CTRL_002_20230224.pdf,Compliance verified
EXEC_00000050,CTRL_002,2023-02-25,passed,Henry Moore,screenshot_CTRL_002_20230225.pdf,Control operating effectively
EXEC_00000051,CTRL_002,2023-02-26,passed,Emma Davis,checklist_CTRL_002_20230226.pdf,Compliance verified
EXEC_00000052,CTRL_002,2023-02-27,passed,Carol Williams,log_file_CTRL_002_20230227.pdf,No exceptions identified
EXEC_00000053,CTRL_002,2023-02-28,passed,Carol Williams,checklist_CTRL_002_20230228.pdf,Compliance verified
EXEC_00000054,CTRL_002,2023-03-01,passed,Emma Davis,checklist_CTRL_002_20230301.pdf,All checks completed successfully
EXEC_00000055,CTRL_002,2023-03-02,passed,Grace Wilson,attestation_CTRL_002_20230302.pdf,Compliance verified
EXEC_00000056,CTRL_002,2023-03-03,not_tested,David Brown,,System unavailable for testing
EXEC_00000057,CTRL_002,2023-03-04,passed,Emma Davis,checklist_CTRL_002_20230304.pdf,Compliance verified
EXEC_00000058,CTRL_002,2023-03-05,passed,Alice Smith,report_CTRL_002_20230305.pdf,Compliance verified
EXEC_00000059,CTRL_002,2023-03-06,passed,Emma Davis,log_file_CTRL_002_20230306.pdf,Compliance verified
EXEC_00000060,CTRL_002,2023-03-07,passed,Grace Wilson,report_CTRL_002_20230307.pdf,Control operating effectively
EXEC_00000061,CTRL_002,2023-03-08,passed,Emma Davis,report_CTRL_002_20230308.pdf,Compliance verified
EXEC_00000062,CTRL_002,2023-03-09,passed,Iris Taylor,log_file_CTRL_002_20230309.pdf,All checks completed successfully
EXEC_00000063,CTRL_002,2023-03-10,passed,Bob Johnson,checklist_CTRL_002_20230310.pdf,No exceptions identified
EXEC_00000064,CTRL_002,2023-03-11,failed,Frank Miller,attestation_CTRL_002_20230311.pdf,Non-compliance detected
EXEC_00000065,CTRL_002,2023-03-12,failed,David Brown,attestation_CTRL_002_20230312.pdf,Significant deficiency found
EXEC_00000066,CTRL_002,2023-03-13,passed,Alice Smith,report_CTRL_002_20230313.pdf,Control operating effectively
EXEC_00000067,CTRL_002,2023-03-14,failed,Henry Moore,attestation_CTRL_002_20230314.pdf,Significant deficiency found
EXEC_00000068,CTRL_002,2023-03-15,passed,Iris Taylor,screenshot_CTRL_002_20230315.pdf,No exceptions identified
EXEC_00000069,CTRL_002,2023-03-16,not_tested,Frank Miller,,System unavailable for testing
EXEC_00000070,CTRL_002,2023-03-17,not_applicable,Emma Davis,attestation_CTRL_002_20230317.pdf,System not in scope
EXEC_00000071,CTRL_002,2023-03-18,passed,Iris Taylor,attestation_CTRL_002_20230318.pdf,Compliance verified
EXEC_00000072,CTRL_002,2023-03-19,failed,Emma Davis,checklist_CTRL_002_20230319.pdf,Exception identified - requires remediation
EXEC_00000073,CTRL_002,2023-03-20,passed,Bob Johnson,checklist_CTRL_002_20230320.pdf,No exceptions identified
EXEC_00000074,CTRL_002,2023-03-21,failed,Alice Smith,attestation_CTRL_002_20230321.pdf,Significant deficiency found
EXEC_00000075,CTRL_002,2023-03-22,passed,Jack Anderson,attestation_CTRL_002_20230322.pdf,Control operating effectively
EXEC_00000076,CTRL_002,2023-03-23,failed,Jack Anderson,checklist_CTRL_002_20230323.pdf,Control not operating as designed
EXEC_00000077,CTRL_002,2023-03-24,passed,Jack Anderson,checklist_CTRL_002_20230324.pdf,Control operating effectively
EXEC_00000078,CTRL_002,2023-03-25,failed,David Brown,report_CTRL_002_20230325.pdf,Exception identified - requires remediation
