incident_id,incident_date,detection_date,severity,incident_type,department,execution_id,vendor_id,financial_impact_usd,status,reported_by
INC_00000001,2023-07-22 00:00:00,2023-07-24 00:00:00,medium,access_violation,Marketing,EXEC_00032466,,36421,remediated,Emma Davis
INC_00000002,2024-01-22 00:00:00,2024-01-22 00:00:00,low,access_violation,Marketing,EXEC_00020673,,21819,remediated,Grace Wilson
INC_00000003,2024-02-25 00:00:00,2024-02-26 00:00:00,high,policy_violation,Legal,,,15753,investigating,Henry Moore
INC_00000004,2023-06-13 00:00:00,2023-06-14 00:00:00,low,policy_violation,Operations,EXEC_00024960,,6733,investigating,Alice Smith
INC_00000005,2023-06-21 00:00:00,2023-06-24 00:00:00,high,data_breach,Legal,EXEC_00011909,,82951,investigating,Iris Taylor
INC_00000006,2024-12-06 00:00:00,2024-12-07 00:00:00,low,system_failure,Finance,,,51410,remediated,Emma Davis
INC_00000007,2023-08-02 00:00:00,2023-08-03 00:00:00,low,access_violation,IT,,,35496,closed,Alice Smith
INC_00000008,2024-08-16 00:00:00,2024-08-16 00:00:00,low,policy_violation,IT,,,7103,remediated,Jack Anderson
INC_00000009,2023-05-10 00:00:00,2023-05-10 00:00:00,high,data_breach,IT,EXEC_00015261,,252315,remediated,Bob Johnson
INC_00000010,2023-06-16 00:00:00,2023-06-17 00:00:00,medium,policy_violation,IT,,,5256,remediated,Jack Anderson
INC_00000011,2024-07-24 00:00:00,2024-07-27 00:00:00,high,policy_violation,IT,EXEC_00021220,,11740,remediated,Henry Moore
INC_00000012,2024-06-27 00:00:00,2024-06-27 00:00:00,low,policy_violation,HR,,,16464,remediated,Iris Taylor
INC_00000013,2023-05-27 00:00:00,2023-05-30 00:00:00,low,data_breach,Finance,,,115907,remediated,Emma Davis
INC_00000014,2024-08-15 00:00:00,2024-08-16 00:00:00,low,access_violation,Finance,EXEC_00021351,,31170,remediated,David Brown
INC_00000015,2024-09-06 00:00:00,2024-09-08 00:00:00,low,policy_violation,Marketing,EXEC_00018154,,15719,open,Iris Taylor
INC_00000016,2023-06-24 00:00:00,2023-06-27 00:00:00,high,third_party_breach,Customer Support,EXEC_00011256,VND_084,337891,closed,Emma Davis
INC_00000017,2024-07-23 00:00:00,2024-07-26 00:00:00,low,policy_violation,Finance,,,17206,remediated,Bob Johnson
INC_00000018,2024-04-05 00:00:00,2024-04-08 00:00:00,low,policy_violation,IT,,,13538,remediated,Iris Taylor
INC_00000019,2023-10-02 00:00:00,2023-10-05 00:00:00,low,policy_violation,IT,EXEC_00027578,,7663,open,Iris Taylor
INC_00000020,2024-01-27 00:00:00,2024-01-29 00:00:00,medium,third_party_breach,HR,,VND_080,253065,remediated,Alice Smith
INC_00000021,2023-07-06 00:00:00,2023-07-06 00:00:00,low,system_failure,Marketing,,,45683,remediated,Emma Davis
INC_00000022,2023-06-26 00:00:00,2023-06-29 00:00:00,high,access_violation,Legal,,,44429,remediated,Carol Williams
INC_00000023,2025-01-13 00:00:00,2025-01-13 00:00:00,high,policy_violation,Finance,,,10999,closed,Henry Moore
INC_00000024,2023-07-15 00:00:00,2023-07-17 00:00:00,medium,access_violation,Customer Support,EXEC_00019834,,43141,remediated,Alice Smith
INC_00000025,2024-11-12 00:00:00,2024-11-15 00:00:00,low,access_violation,Operations,,,49687,remediated,Henry Moore
INC_00000026,2024-06-24 00:00:00,2024-06-25 00:00:00,medium,system_failure,Finance,,,69197,remediated,Jack Anderson
INC_00000027,2023-05-30 00:00:00,2023-06-01 00:00:00,high,system_failure,IT,,,63749,remediated,Alice Smith
INC_00000028,2024-01-07 00:00:00,2024-01-09 00:00:00,low,system_failure,IT,,,31311,remediated,Iris Taylor
INC_00000029,2023-07-16 00:00:00,2023-07-17 00:00:00,medium,system_failure,Sales,,,44120,remediated,Emma Davis
INC_00000030,2024-03-25 00:00:00,2024-03-27 00:00:00,high,access_violation,Customer Support,,,47613,remediated,David Brown
INC_00000031,2023-06-09 00:00:00,2023-06-11 00:00:00,low,policy_violation,Sales,,,12146,remediated,Carol Williams
INC_00000032,2023-06-28 00:00:00,2023-06-29 00:00:00,critical,access_violation,Customer Support,,,40712,remediated,Henry Moore
INC_00000033,2023-11-08 00:00:00,2023-11-10 00:00:00,medium,policy_violation,Marketing,EXEC_00027375,,15237,remediated,Emma Davis
INC_00000034,2023-05-30 00:00:00,2023-06-01 00:00:00,low,access_violation,HR,,,14921,remediated,Emma Davis
INC_00000035,2024-07-21 00:00:00,2024-07-22 00:00:00,medium,access_violation,HR,,,21373,open,Grace Wilson
INC_00000036,2023-12-23 00:00:00,2023-12-26 00:00:00,medium,policy_violation,Operations,EXEC_00025587,,13114,remediated,Carol Williams
INC_00000037,2024-03-31 00:00:00,2024-04-03 00:00:00,medium,system_failure,HR,,,93668,remediated,Henry Moore
INC_00000038,2024-04-27 00:00:00,2024-04-28 00:00:00,medium,third_party_breach,Operations,EXEC_00012760,VND_049,266352,remediated,David Brown
INC_00000039,2024-09-01 00:00:00,2024-09-03 00:00:00,medium,third_party_breach,Marketing,,VND_099,258261,remediated,Carol Williams
INC_00000040,2023-03-01 00:00:00,2023-03-01 00:00:00,low,data_breach,Customer Support,,,168198,remediated,David Brown
INC_00000041,2024-08-03 00:00:00,2024-08-05 00:00:00,medium,access_violation,Marketing,EXEC_00032432,,47217,remediated,Carol Williams
INC_00000042,2024-08-23 00:00:00,2024-08-26 00:00:00,medium,access_violation,Finance,,,43197,remediated,Jack Anderson
INC_00000043,2024-06-07 00:00:00,2024-06-10 00:00:00,low,data_breach,Finance,,,223211,remediated,Frank Miller
INC_00000044,2024-05-19 00:00:00,2024-05-21 00:00:00,low,data_breach,Finance,EXEC_00009373,,240617,remediated,Grace Wilson
INC_00000045,2024-03-04 00:00:00,2024-03-04 00:00:00,low,policy_violation,IT,,,9988,remediated,Bob Johnson
INC_00000046,2024-04-04 00:00:00,2024-04-07 00:00:00,high,policy_violation,Customer Support,,,7209,remediated,Alice Smith
INC_00000047,2024-02-19 00:00:00,2024-02-22 00:00:00,low,access_violation,Finance,,,16750,closed,Carol Williams
INC_00000048,2025-01-06 00:00:00,2025-01-09 00:00:00,low,access_violation,Sales,,,13952,remediated,Emma Davis
INC_00000049,2023-09-29 00:00:00,2023-10-02 00:00:00,medium,system_failure,Customer Support,,,69946,remediated,Henry Moore
INC_00000050,2023-03-12 00:00:00,2023-03-14 00:00:00,medium,access_violation,Customer Support,EXEC_00012931,,17282,closed,Emma Davis
INC_00000051,2023-05-03 00:00:00,2023-05-04 00:00:00,low,data_breach,Sales,,,118214,open,David Brown
INC_00000052,2025-01-18 00:00:00,2025-01-19 00:00:00,high,access_violation,Operations,,,26247,remediated,David Brown
INC_00000053,2024-06-16 00:00:00,2024-06-18 00:00:00,low,policy_violation,HR,EXEC_00014425,,17714,remediated,Emma Davis
INC_00000054,2024-03-05 00:00:00,2024-03-08 00:00:00,medium,data_breach,Finance,,,155541,remediated,Emma Davis
INC_00000055,2023-06-04 00:00:00,2023-06-07 00:00:00,medium,policy_violation,Customer Support,,,8341,remediated,David Brown
INC_00000056,2024-10-04 00:00:00,2024-10-06 00:00:00,critical,access_violation,Legal,EXEC_00019100,,45880,closed,Jack Anderson
INC_00000057,2024-08-27 00:00:00,2024-08-30 00:00:00,medium,policy_violation,Finance,,,13153,investigating,Iris Taylor
INC_00000058,2023-08-26 00:00:00,2023-08-28 00:00:00,low,policy_violation,Customer Support,EXEC_00015716,,9412,remediated,Bob Johnson
INC_00000059,2024-08-08 00:00:00,2024-08-09 00:00:00,medium,policy_violation,Customer Support,,,6900,investigating,Carol Williams
INC_00000060,2024-11-07 00:00:00,2024-11-08 00:00:00,high,system_failure,Marketing,,,93586,remediated,Emma Davis
INC_00000061,2023-08-12 00:00:00,2023-08-14 00:00:00,low,system_failure,Sales,,,99815,remediated,Alice Smith
INC_00000062,2024-07-14 00:00:00,2024-07-16 00:00:00,medium,system_failure,Finance,,,62333,remediated,Iris Taylor
INC_00000063,2023-11-11 00:00:00,2023-11-14 00:00:00,low,access_violation,Legal,,,31201,remediated,Iris Taylor
